group	x	y	showSelected1
1	2002	42.129	Afghanistan
2	2002	75.651	Albania
3	2002	70.994	Algeria
4	2002	41.003	Angola
5	2002	74.34	Argentina
6	2002	80.37	Australia
7	2002	78.98	Austria
8	2002	74.795	Bahrain
9	2002	62.013	Bangladesh
10	2002	78.32	Belgium
11	2002	54.406	Benin
12	2002	63.883	Bolivia
13	2002	74.09	Bosnia and Herzegovina
14	2002	46.634	Botswana
15	2002	71.006	Brazil
16	2002	72.14	Bulgaria
17	2002	50.65	Burkina Faso
18	2002	47.36	Burundi
19	2002	56.752	Cambodia
20	2002	49.856	Cameroon
21	2002	79.77	Canada
22	2002	43.308	Central African Republic
23	2002	50.525	Chad
24	2002	77.86	Chile
25	2002	72.028	China
26	2002	71.682	Colombia
27	2002	62.974	Comoros
28	2002	44.966	Congo, Dem. Rep.
29	2002	52.97	Congo, Rep.
30	2002	78.123	Costa Rica
31	2002	46.832	Cote d'Ivoire
32	2002	74.876	Croatia
33	2002	77.158	Cuba
34	2002	75.51	Czech Republic
35	2002	77.18	Denmark
36	2002	53.373	Djibouti
37	2002	70.847	Dominican Republic
38	2002	74.173	Ecuador
39	2002	69.806	Egypt
40	2002	70.734	El Salvador
41	2002	49.348	Equatorial Guinea
42	2002	55.24	Eritrea
43	2002	50.725	Ethiopia
44	2002	78.37	Finland
45	2002	79.59	France
46	2002	56.761	Gabon
47	2002	58.041	Gambia
48	2002	78.67	Germany
49	2002	58.453	Ghana
50	2002	78.256	Greece
51	2002	68.978	Guatemala
52	2002	53.676	Guinea
53	2002	45.504	Guinea-Bissau
54	2002	58.137	Haiti
55	2002	68.565	Honduras
56	2002	81.495	Hong Kong, China
57	2002	72.59	Hungary
58	2002	80.5	Iceland
59	2002	62.879	India
60	2002	68.588	Indonesia
61	2002	69.451	Iran
62	2002	57.046	Iraq
63	2002	77.783	Ireland
64	2002	79.696	Israel
65	2002	80.24	Italy
66	2002	72.047	Jamaica
67	2002	82	Japan
68	2002	71.263	Jordan
69	2002	50.992	Kenya
70	2002	66.662	Korea, Dem. Rep.
71	2002	77.045	Korea, Rep.
72	2002	76.904	Kuwait
73	2002	71.028	Lebanon
74	2002	44.593	Lesotho
75	2002	43.753	Liberia
76	2002	72.737	Libya
77	2002	57.286	Madagascar
78	2002	45.009	Malawi
79	2002	73.044	Malaysia
80	2002	51.818	Mali
81	2002	62.247	Mauritania
82	2002	71.954	Mauritius
83	2002	74.902	Mexico
84	2002	65.033	Mongolia
85	2002	73.981	Montenegro
86	2002	69.615	Morocco
87	2002	44.026	Mozambique
88	2002	59.908	Myanmar
89	2002	51.479	Namibia
90	2002	61.34	Nepal
91	2002	78.53	Netherlands
92	2002	79.11	New Zealand
93	2002	70.836	Nicaragua
94	2002	54.496	Niger
95	2002	46.608	Nigeria
96	2002	79.05	Norway
97	2002	74.193	Oman
98	2002	63.61	Pakistan
99	2002	74.712	Panama
100	2002	70.755	Paraguay
101	2002	69.906	Peru
102	2002	70.303	Philippines
103	2002	74.67	Poland
104	2002	77.29	Portugal
105	2002	77.778	Puerto Rico
106	2002	75.744	Reunion
107	2002	71.322	Romania
108	2002	43.413	Rwanda
109	2002	64.337	Sao Tome and Principe
110	2002	71.626	Saudi Arabia
111	2002	61.6	Senegal
112	2002	73.213	Serbia
113	2002	41.012	Sierra Leone
114	2002	78.77	Singapore
115	2002	73.8	Slovak Republic
116	2002	76.66	Slovenia
117	2002	45.936	Somalia
118	2002	53.365	South Africa
119	2002	79.78	Spain
120	2002	70.815	Sri Lanka
121	2002	56.369	Sudan
122	2002	43.869	Swaziland
123	2002	80.04	Sweden
124	2002	80.62	Switzerland
125	2002	73.053	Syria
126	2002	76.99	Taiwan
127	2002	49.651	Tanzania
128	2002	68.564	Thailand
129	2002	57.561	Togo
130	2002	68.976	Trinidad and Tobago
131	2002	73.042	Tunisia
132	2002	70.845	Turkey
133	2002	47.813	Uganda
134	2002	78.471	United Kingdom
135	2002	77.31	United States
136	2002	75.307	Uruguay
137	2002	72.766	Venezuela
138	2002	73.017	Vietnam
139	2002	72.37	West Bank and Gaza
140	2002	60.308	Yemen, Rep.
141	2002	39.193	Zambia
142	2002	39.989	Zimbabwe
